Hari,Data
536,145.53
537,145.74
538,147.77
539,149.04
540,149.56
541,150.08
542,151.02
543,150.34
544,150.27
545,152.09
546,152.74
547,153.46
548,150.56
549,149.5
550,148.73
551,150.05
552,157.14
553,155.57
554,156.39
555,158.81
556,160.08
557,161.06
558,155.32
559,157.48
560,159.85
561,161.6
562,160.95
563,157.86
564,157.5
565,157.21
566,159.78
567,159.98
568,159.27
569,159.86
570,161.47
571,162.91
572,163.35
573,164
574,164.05
575,162.08
576,161.91
577,161.26
578,158.63
579,161.5
580,160.86
581,159.65
582,158.28
583,159.88
584,158.67
585,158.73
586,156.07
587,153.39
588,151.89
589,150.55
590,153.14
591,154.23
592,153.28
593,154.12
594,153.81
595,154.48
596,153.48
597,155.39
598,155.3
599,155.84
600,155.9
601,156.55
602,156
603,156.99
604,159.88
605,160.47
606,159.76
607,155.98
608,156.25
609,156.17
610,157.1
611,156.41
612,157.41
613,163.05
614,166.72
615,169.04
616,166.89
617,168.11
618,172.5
619,174.25
620,174.81
621,176.24
622,175.88
623,174.67
624,173.97
625,171.34
626,169.08
627,171.1
628,170.15
629,169.98
630,173.14
631,174.96
632,174.97
633,174.09
634,173.07
635,169.48
636,171.85
637,171.05
638,169.8
639,169.64
640,169.01
641,169.32
642,169.37
643,172.67
644,171.7
645,172.27
646,172.22
647,173.97
648,176.42
649,174.54
650,174.35
651,175.01
652,175.01
653,170.57
654,170.6
655,171.08
656,169.23
657,172.26
658,172.23
659,173.03
660,175
661,174.35
662,174.33
663,174.29
664,175.28
665,177.09
666,176.19
667,179.1
668,179.26
669,178.46
670,177
671,177.04
672,174.22
673,171.11
674,171.51
675,167.96
676,166.97
677,167.43
678,167.78
679,160.5
680,156.49
681,163.03
682,159.54
683,155.15
684,156.41
685,162.71
686,164.34
687,167.37
688,172.99
689,172.43
690,171.85
691,171.07
692,172.5
693,175.5
694,178.97
695,178.39
696,178.12
697,175
698,176.21
699,176.82
700,176.67
701,175.03
702,176.94
703,179.98
704,181.72
705,179.97
706,178.44
707,178.65
708,178.02
709,175.3
710,175.24
711,171.27
712,168.85
713,164.94
714,172.77
715,168.34
716,166.48
717,167.78
718,166.68
719,168.39
720,171.61
721,172.8
722,168.38
723,170.05
724,173.25
725,172.44
726,174.14
727,174.73
728,175.82
729,178.24
730,177.84
731,172.8
732,165.72
733,165.24
734,162.94
735,163.65
736,164.22
737,162.32
738,165.26
739,169.1
740,176.57
741,176.89
742,183.83
743,185.16
744,186.05
745,187.36
746,190.04
747,188.59
748,188.15
749,186.44
750,188.18
751,186.99
752,186.31
753,187.63
754,187.16
755,188.36
756,188.15
757,188.58
758,187.9
759,187.5
760,186.87
761,190.24
762,191.83
763,193.31
764,193.98
765,193.46
766,191.7
767,191.23
768,192.28
769,190.7
770,190.8
771,188.84
772,188.74
773,185.69
774,186.5
775,185.46
776,184.92
777,182.17
778,184.43
779,184.16
780,185.5
781,185.11
782,187.18
783,183.92
784,185.4
785,187.97
786,190.58
787,190.35
788,187.88
789,191.03
790,191.33
791,190.91
792,191.45
793,190.4
794,191.88
795,191.44
796,191.61
797,193
798,194.82
799,194.21
800,190.98
801,189.91
802,190.29
803,201.5
804,207.39
805,207.99
806,209.07
807,207.11
808,207.25
809,208.88
810,207.53
811,208.87
812,209.75
813,210.24
814,213.32
815,217.58
816,215.46
817,215.04
818,215.05
819,215.49
820,216.16
821,217.94
822,219.7
823,222.98
824,225.03
825,227.63
826,228.36
827,226.87
828,223.1
829,221.3
830,218.33
831,223.85
832,221.07
833,226.41
834,223.84
835,217.88
836,218.24
837,218.37
838,220.03
839,217.66
840,220.79
841,222.19
842,220.42
843,224.95
844,225.74
845,227.26
846,229.28
847,232.07
848,227.99
849,224.29
850,223.77
851,226.87
852,216.36
853,214.45
854,222.11
855,217.36
856,222.15
857,221.19
858,216.02
859,219.31
860,220.65
861,222.73
862,215.09
863,219.8
864,216.3
865,212.24
866,213.3
867,218.86
868,222.22
869,207.48
870,201.59
871,203.77
872,209.95
873,208.49
874,204.47
875,194.17
876,192.23
877,186.8
878,191.41
879,193.53
880,185.86
881,176.98
882,176.78
883,172.29
884,174.62
885,174.24
886,180.94
887,179.55
888,178.58
889,184.82
890,176.69
891,174.72
892,168.49
893,169.6
894,168.63
895,169.1
896,170.95
897,165.48
898,163.94
899,166.07
900,160.89
901,156.83
902,150.73
903,146.83
904,157.17
905,156.15
906,156.23
907,157.74
908,157.92
909,142.19
910,148.26
911,147.93
912,150.75
913,153.31
914,153.8
915,152.29
916,150
917,153.07
918,154.94
919,155.86
920,156.82
921,153.3
922,153.92
923,152.7
924,157.76
925,156.3
926,154.68
927,165.25
928,166.44
929,166.52
930,171.25
931,174.18
932,174.24
933,170.94
934,170.41
935,169.43
936,170.89
937,170.18
938,170.8
939,170.42
940,170.93
941,172.03
942,171.06
943,172.97
944,174.23
945,174.33
946,174.87
947,173.15
948,174.97
949,175.85
950,175.53
951,174.52
952,172.5
953,172.91
954,178.9
955,180.91
956,181.71
957,183.73
958,186.12
959,188.02
960,186.53
961,188.16
962,195.09
963,191.05
964,188.74
965,186.79
966,188.47
967,188.72
968,189.95
969,191.24
970,194.02
971,195.35
972,195.69
973,197
974,200.1
975,199.5
976,200.62
977,198.95
978,198.87
979,199.23
980,199.25
981,203.13
982,203.86
983,204.53
984,207.48
985,207.16
986,205.28
987,204.3
988,204.61
989,200.67
990,210.52
991,209.15
992,211.75
993,208.48
994,202.86
995,202.9
996,200.72
997,197.18
998,185.72
999,188.66
1000,190.92
1001,190.08
1002,189
1003,183.09
1004,186.6
1005,182.78
1006,179.66
1007,178.97
1008,178.23
1009,177.38
1010,178.3
1011,175.07
1012,173.3
1013,179.64
1014,182.54
1015,185.22
1016,190.15
1017,192.58
1018,194.81
1019,194.19
1020,194.15
1021,192.74
1022,193.89
1023,198.45
1024,197.87
1025,199.46
1026,198.78
1027,198.58
1028,195.57
1029,199.8
1030,199.74
1031,197.92
1032,201.55
1033,202.73
1034,204.41
1035,204.23
1036,200.02
1037,201.24
1038,203.23
1039,201.75
1040,203.3
1041,205.21
1042,204.5
1043,203.35
1044,205.66
1045,202.59
1046,207.22
1047,208.84
1048,208.67
1049,207.02
1050,207.74
1051,209.68
1052,208.78
1053,213.04
1054,208.43
1055,204.02
1056,193.34
1057,197
1058,199.04
1059,203.43
1060,200.99
1061,200.48
1062,208.97
1063,202.75
1064,201.74
1065,206.5
1066,210.35
1067,210.36
1068,212.64
1069,212.46
1070,202.64
1071,206.49
1072,204.16
1073,205.53
1074,209.01
1075,208.74
1076,205.7
1077,209.19
1078,213.28
1079,213.26
1080,214.17
1081,216.7
1082,223.59
1083,223.085
1084,218.75
1085,219.9
1086,220.7
1087,222.77
1088,220.96
1089,217.73
1090,218.72
1091,217.68
1092,221.03
1093,219.89
1094,218.82
1095,223.97
1096,224.59
1097,218.96
1098,220.82
1099,227.01
1100,227.06
1101,224.4
1102,227.03
1103,230.09
1104,236.21
1105,235.87
1106,235.32
1107,234.37
1108,235.28
1109,236.41
1110,240.51
1111,239.96
1112,243.18
1113,243.58
1114,246.58
1115,249.05
1116,243.29
1117,243.26
1118,248.76
1119,255.82
1120,257.5
1121,257.13
1122,257.24
1123,259.43
1124,260.14
1125,262.2
1126,261.96
1127,264.47
1128,262.64
1129,265.76
1130,267.1
1131,266.29
1132,263.19
1133,262.01
1134,261.78
1135,266.37
1136,264.29
1137,267.84
1138,267.25
1139,264.16
1140,259.45
1141,261.74
1142,265.58
1143,270.71
1144,266.92
1145,268.48
1146,270.77
1147,271.46
1148,275.15
1149,279.86
1150,280.41
1151,279.74
1152,280.02
1153,279.44
1154,284
1155,284.27
1156,289.91
1157,289.8
1158,291.52
1159,293.65
1160,300.35
1161,297.43
1162,299.8
1163,298.39
1164,303.19
1165,309.63
1166,310.33
1167,316.96
1168,312.68
1169,311.34
1170,315.24
1171,318.73
1172,316.57
1173,317.7
1174,319.23
1175,318.31
1176,308.95
1177,317.69
1178,324.34
1179,323.87
1180,309.51
1181,308.66
1182,318.85
1183,321.45
1184,325.21
1185,320.03
1186,321.55
1187,319.61
1188,327.2
1189,324.87
1190,324.95
1191,319
1192,323.62
1193,320.3
1194,313.05
1195,298.18
1196,288.08
1197,292.65
1198,273.52
1199,273.36
1200,298.81
1201,289.32
1202,302.74
1203,292.92
1204,289.03
1205,266.17
1206,285.34
1207,275.43
1208,248.23
1209,277.97
1210,242.21
1211,252.86
1212,246.67
1213,244.78
1214,229.24
1215,224.37
1216,246.88
1217,245.52
1218,258.44
1219,247.74
1220,254.81
1221,254.29
1222,240.91
1223,244.93
1224,241.41
1225,262.47
1226,259.43
1227,266.07
1228,267.99
1229,273.25
1230,287.05
1231,284.43
1232,286.69
1233,282.8
1234,276.93
1235,268.37
1236,276.1
1237,275.03
1238,282.97
1239,283.17
1240,278.58
1241,287.73
1242,293.8
1243,289.07
1244,293.16
1245,297.56
1246,300.63
1247,303.74
